node_id,node_type,name,taxonomy,confidence,probability,severity_num,project_id
"action::100::in addition, semi-annual count",Action,"In addition, semi-annual counter-verification will be organized by the HSSP Coordination Office and conducted by external universities/organization.",Mitigation,0.55,0.25,0.33,P_019
action::101::to safeguard the insti tutiona,Action,"To safeguard the institutional sustainability introduced by the project (under both components 1 and 2), significant local capacity and technical skills will be developed over the course of project im",Mitigation,0.65,0.25,1.0,P_019
"action::102::ts 1 and 2), significant local",Action,"ts 1 and 2), significant local capacity and technical skills will be developed over the course of project implementation, including in relevant MOH units (e.g.",Mitigation,0.65,0.25,1.0,P_019
"action::103::the procurement, finance and t",Action,"the Procurement, Finance and the PBF unit), LMDC, the specialized and affiliated teaching hospitals, and the PGMC which will be responsible for coordinating and managing the medical residency program,",Mitigation,0.55,0.25,0.33,P_019
action::104::this will ensure that a system,Action,This will ensure that a system is developed which can seamlessly be scaled-up and maintained by local counterparts.,Mitigation,0.55,0.25,0.33,P_019
action::105::component 1 will be implemente,Action,Component 1 will be implemented in coordination with other donors (e.g.,Mitigation,0.55,0.25,0.33,P_019
action::106::it is expected that this partn,Action,"It is expected that this partnership, which shares the MoHSW’s vision of full PBF roll-out, will jointly discuss the progress of the various project components, implementation arrangements and results",Mitigation,0.55,0.75,0.33,P_019
action::107::component 2: administration of,Action,Component 2: Administration of the GMRP will fall under the PGMC.,Mitigation,0.55,0.25,0.33,P_019
action::108::throughout the residency progr,Action,"Throughout the residency program, the PGMC will be respo nsible for providing academic and clinical supervision of faculty and residents, engaging in overall program monitoring including relevant indi",Mitigation,0.55,0.25,0.33,P_019
action::109::the pgmc will be supported by,Action,"It will be supported by the West Africa College of Physicians and Surgeons, which falls under the authority of the West African Health Organization (WAHO), and the Ghana College of Physicians and Surg",Mitigation,0.55,0.25,0.33,P_019
action::10::residents will be selected fro,Action,Residents will be selected from the existing pool of medical school graduates based on standardized criteria.,Mitigation,0.55,0.25,0.33,P_019
"action::110::they will work jointly to, int",Action,"They will work jointly to, inter alia , accredit the GMRP nationally, while gradually progressing towards regional WAHO accreditation standards.",Mitigation,0.55,0.25,0.33,P_019
action::111::the pgmc will work closely wit,Action,The PGMC will work closely with the HSSP Coordination Office on all relevant issues related to the development and implementation of the GMRP.,Mitigation,0.55,0.25,0.33,P_019
action::112::overall administration of the,Action,"Overall administration of the in -service training sub-component will also fall under the PGMC, which will work closely with the LMDC, the representative body for all health professions in Liber ia.",Mitigation,0.55,0.25,0.33,P_019
action::113::faculty recruited under the gm,Action,"Faculty recruited under the GMRP will be contractually mandated to follow the in-service training curricula and guidelines developed by the LMDC , which is represented in the PGMC.",Mitigation,0.55,0.25,0.33,P_019
"action::114::under internal monitoring, the",Action,"Under internal monitoring, the aim will be to assess: a) whether inputs and outputs are being delivered; b) compliance with work programs; and, c) progress towards achieving outcomes.",Mitigation,0.55,0.25,0.33,P_019
action::115::through this internal monitori,Action,"Through this internal monitoring process, it will be possible to identify problems early in the implementation process ( e.g.",Mitigation,0.55,0.45,0.33,P_019
action::116::external monitoring will invol,Action,"External monitoring will involve: ( a) counter -verification (organized by the HSSP Coordination Office ); (b) financial auditing; and, (c) verification of service uptake with registered patients and ",Mitigation,0.55,0.25,0.33,P_019
action::117::counter- verification will see,Action,"Counter- verification will seek to (re- ) verify both the quality and quantity of services provided, and random verification of whether the verification results by the LMDC are appropriate (e.g.",Mitigation,0.55,0.25,0.33,P_019
action::118::distinct from the regular m&e,Action,"Distinct from the regular M&E activities, which seek to track the progress of key indicators over the life course of the project, an impact evaluation will also be carried out which attempts to answer",Mitigation,0.55,0.25,0.33,P_019
"action::119::specifically, an a ttempt will",Action,"Specifically, an attempt will be made to estimate the causal impact of project interventions on key health (and related) outcomes of interest.",Mitigation,0.55,0.25,0.33,P_019
"action::11::similarly, the proposed projec",Action,"Similarly, the proposed project is also consistent with the Country Assistance Strategy (CAS) for Liberia (FY2009 - FY2012) 6 that was developed jointly by the Bank and the African Development Bank (A",Mitigation,0.55,0.25,0.33,P_019
"action::120::thus, attention will be placed",Action,"Thus, attention will be placed on causal inference.",Mitigation,0.55,0.25,0.33,P_019
"action::121::specifically, the project will",Action,"Specifically, the project will address the three primary challenges in the health sector that have made limited progress: low quality of care at the level of hospitals ; weak performance of health per",Mitigation,0.55,0.25,0.33,P_019
action::122::financial sustainability the ‘,Action,Financial Sustainability The ‘cost of indicators’ will be kept at su stainable levels throughout project implementation to enable the Government to take over the program financing in the future.,Mitigation,0.55,0.25,0.33,P_019
