node_id,node_type,name,taxonomy,confidence,probability,severity_num,project_id
action::100::further analysis will be under,Action,Further analysis will be undertaken as project prepa,Mitigation,0.55,0.25,0.33,P_018
action::101::further analysis will be under,Action,Further analysis will be undertaken as project preparation progresses.,Mitigation,0.55,0.25,0.33,P_018
action::102::effective design and implement,Action,Effective design and implementation of efficiency programmes will take some time in Kiribati.,Mitigation,0.55,0.25,0.33,P_018
"action::103::also, end-use efficiency optio",Action,"Also, end-use efficiency options will require sustainable supply chain arrangements which will need to be carefully developed.",Mitigation,0.55,0.25,0.33,P_018
action::104::the team noted that further de,Action,The team noted that further design work on the proposed investment in grid connected PV will be undertaken as part of project preparation.,Mitigation,0.55,0.25,0.33,P_018
action::105::assessing the level of solar p,Action,"Assessing the level of solar PV penetration and other RE options in the Tarawa grid system, taking into account load growth, will be covered as part of the least cost planning.",Mitigation,0.55,0.25,0.33,P_018
action::106::review the scope of the propos,Action,review the scope of the proposed project investment preparation effort during the upcoming mission with a view to further defining the technical and economic assessment; b.,Mitigation,0.55,0.25,0.33,P_018
action::107::develop further the scope of t,Action,develop further the scope of the planning exercise which will include both supply and end-use efficiency options.,Mitigation,0.55,0.25,0.33,P_018
action::108::the option of considering ksec,Action,The option of considering KSEC (the public entity responsible for the off-grid solar PV programme) as the owner and/or operator of a grid- connected PV plant was raised.,Mitigation,0.55,0.25,0.33,P_018
action::109::considering (a) the “barrier r,Action,Considering (a) the “barrier removal” aspect of the first grid-connected solar PV project in terms of operational experience and confidence in a technology that is “new” in terms of grid-based electri,Mitigation,0.55,0.25,0.33,P_018
action::10::the pst support officer will p,Action,The PST support officer will provide this service in the initial period of the project.,Mitigation,0.55,0.25,0.33,P_018
action::110::as part of the ta under the pr,Action,"As part of the TA under the project, assistance will be provided towards improving the financial situation of the electricity sector.",Mitigation,0.55,0.25,0.33,P_018
action::111::subsequent investment will dep,Action,"Subsequent investment will depend on improved financial performance, but as a baseline assumption would be based on an increasing fraction of “harder” financing such as IDA credits.",Mitigation,0.55,0.25,0.33,P_018
action::112::it was agreed that this will b,Action,It was agreed that this will be addressed by a service contract with a private firm for O&M and related capacity building for PUB for the 3- 4 year project duration.,Mitigation,0.55,0.25,0.33,P_018
action::113::this process of learning by do,Action,This process of learning by doing will also strengthen PUB capacity for the future.,Mitigation,0.55,0.25,0.33,P_018
action::114::24 (iv) longer term sustainabi,Action,24 (iv) Longer term sustainability The team explained that the proposed project in of itself will not fully,Mitigation,0.55,0.25,0.33,P_018
action::115::24 (iv) longer term sustainabi,Action,24 (iv) Longer term sustainability The team explained that the proposed project in of itself will not fully address the longer term financing and financial sustainability of the grid system in S.,Mitigation,0.55,0.25,0.33,P_018
"action::116::furthermore, with the guidance",Action,"Furthermore, with the guidance from the meeting, during upcoming preparation the team will discuss with the GOK the merits of undertaking a financial analysis and tariff analysis of the grid system to",Mitigation,0.55,0.25,0.33,P_018
action::117::the meeting also drew attentio,Action,The meeting also drew attention to the importance for the GOK to consider separation of the PUB’s water and electricity businesses in bookkeeping as well as financial terms.,Mitigation,0.55,0.25,0.33,P_018
action::118::the current program of reform,Action,The current program of reform of the SOEs and procurement of a Utility Management Expert for the PUB is expected to highlight the issues as basis for a PUB action plan ].,Mitigation,0.55,0.75,0.33,P_018
"action::119::following the mission, the pif",Action,"Following the mission, the PIF and ISDS will be revised and shared with the EAP Safeguards team for further input.",Mitigation,0.55,0.25,0.33,P_018
action::11::the subsequent reporting again,Action,The subsequent reporting against the results framework will be integrated into the normal operations of PUB’s business.,Mitigation,0.55,0.25,0.33,P_018
action::120::further preparation will be un,Action,"Further preparation will be undertaken with specialist consultant support focusing on the design, sizing and cost / benefit of the proposed investment.",Mitigation,0.55,0.25,0.33,P_018
action::121::a draft msp gef ceo endorsemen,Action,A draft MSP GEF CEO endorsement package will be prepared by about November 2010.,Mitigation,0.55,0.25,0.33,P_018
action::122::it will include documentation,Action,"It will include documentation on (a) Results Framework and Monitoring, (b) Procurement Arrangements, (c) Implementation arrangements ,(d) Financial management and Disbursement Arrangements, and (e) En",Mitigation,0.55,0.25,0.33,P_018
action::123::the gef ceo endorsement packag,Action,The GEF CEO endorsement package will be circulated for virtual review to PRIF partners and the WB GEF coordinator.,Mitigation,0.55,0.25,0.33,P_018
action::124::after addressing issues raised,Action,"After addressing issues raised through the review, the Package will be 25 submitted for WB Country Director approval and GEF CEO Endorsement.",Mitigation,0.55,0.25,0.33,P_018
action::125::summary of agreements reached,Action,"Summary of Agreements Reached The meeting endorsed: (i) further project preparation, starting with the upcoming preparation/pre-appraisal mission, along the concept design set out in the PIF, subject ",Mitigation,0.55,0.25,0.33,P_018
action::126::a procurement capacity and ris,Action,A procurement capacity and risk assessment of PUB has concluded that PUB would require procurement support given its limited in-house procurement capacity (the assessment and mitigation action plan wi,Mitigation,0.55,0.25,0.33,P_018
action::127::it has been agreed with mfed t,Action,It has been agreed with MFED that its central CFU will undertake all procurement processing on behalf of the project.,Mitigation,0.55,0.25,0.33,P_018
action::128::the mfed cfu will have a full-,Action,"The MFED CFU will have a full-time procurement officer who will be responsible for processing all procurement activities for up to three projects, including this project.",Mitigation,0.55,0.25,0.33,P_018
action::129::the key procurement activity u,Action,"The key procurement activity under the project is the design, supply and installation of the solar power stations which will be procured on a single responsibility basis.",Mitigation,0.55,0.25,0.33,P_018
"action::12::tions, please ensure that the",Action,"tions, please ensure that the project design incorporates key GEF operational principles, including sustainability of global environmental benefits, institutional continuity and replicability, keeping",Mitigation,0.55,0.25,0.33,P_018
action::130::the bank’s standard bidding do,Action,"The Bank’s standard bidding documents for Plant Design, Supply and Installation will be used, and the activity will be subject to prior review.",Mitigation,0.55,0.25,0.33,P_018
action::131::pub’s project support team (ps,Action,PUB’s Project Support Team (PST) will provide technical inputs to the CFU for preparing and processing all project procurement activities.,Mitigation,0.55,0.25,0.33,P_018
"action::132::specifically, the employer’s e",Action,"Specifically, the Employer’s Engineer in the PST will provide all technical requirements for the bidding documents, the evaluation of bids and follow up on contract award decisions.",Mitigation,0.55,0.25,0.33,P_018
action::133::the procurement- related risk,Action,"The procurement- related risk is rated high and, with the implementation of agreed mitigation actions, would be moderate.",Mitigation,0.6,0.25,0.66,P_018
action::134::key risk mitigation measures a,Action,Key risk mitigation measures agreed are as follows: i.,Mitigation,0.55,0.25,0.33,P_018
