node_id,node_type,name,taxonomy,confidence,probability,severity_num,project_id
action::100::nd safety equipment within a p,Action,nd safety equipment within a pest management plan to be prepared.,Mitigation,0.55,0.25,0.33,P_005
action::101::the % of satisfaction will be,Action,The % of satisfaction will be assessed through a qualitative method with focus groups that include the main target users.,Mitigation,0.55,0.25,0.33,P_005
action::102::ator name description (indicat,Action,"ator Name Description (indicator definition etc.) Frequency Data Source / Methodology Responsibility for Data Collection MPD, MMya, SEARPI and SDC demonstrate a better capacity to undertand and take i",Mitigation,0.55,0.75,0.33,P_005
"action::103::indicator: concerted, approved",Action,"Indicator: Concerted, approved and published Water Basin Management Plans for the PPCR pilot water basins Annual review of progress then assessment of adopted Plans SDC and SEARPI UCP-PPCR Area provid",Mitigation,0.55,0.25,0.33,P_005
action::104::the proposed project will supp,Action,"The proposed Project will support the implementation of Bolivia's strategy, as defined in its Strategic Program for Climate Resilience (Government of Bolivia, 2011), by supporting two types of actions",Mitigation,0.55,0.25,0.33,P_005
action::105::43 (a) actions to strengthen t,Action,43 (a) Actions to strengthen the ins titutional capacity at the national level to facilitate/support climate resilient and participatory basin -scale water resources planning and management (Component,Mitigation,0.55,0.25,0.33,P_005
action::106::the project will support the e,Action,"The Project will support the establishment of a national climate and water information system within the Ministry of Environment and Water through the provision of technical assistance, training, equi",Mitigation,0.55,0.25,0.33,P_005
action::107::phase 2 of the ppcr will furth,Action,Phase 2 of the PPCR will further strengthen the National Climate and Water Information System by: (a) Developing the national climate and water informatio n system.,Mitigation,0.55,0.25,0.33,P_005
action::108::this will include integrating,Action,This will include integrating into one single information system climate and water related data and information currently dispersed among various institutions.,Mitigation,0.55,0.25,0.33,P_005
action::109::the system will be composed at,Action,"The system will be composed at the central level of a central platform in the UCP -PPCR that will receive data and information from other sources, including SENAMHI , ASAANA and SEARPI, and make it av",Mitigation,0.55,0.25,0.33,P_005
action::10::the proposed project will foll,Action,The proposed Project will follow a first phase of activities (PPCR -Phase 1) financed by a US$1.5 million grant provided under the PPCR trust fund (Grant No.,Mitigation,0.55,0.25,0.33,P_005
"action::110::more specifically, the project",Action,"More specifically, the Project will support: (a) national climate and water information system design; (b) equipment and software for storage, processing and d issemination in the UCP -PPCR central pl",Mitigation,0.55,0.25,0.33,P_005
action::111::information generated under th,Action,erated under this activity will be made available through the website.,Mitigation,0.55,0.25,0.33,P_005
action::112::these analyses will require co,Action,These analyses will require consultancy services and training of SENAMHI and SEARPI staff.,Mitigation,0.55,0.25,0.33,P_005
action::113::proposed activities include: 1,Action,Proposed activities include: 10.,Mitigation,0.55,0.25,0.33,P_005
action::114::these activities will require,Action,"These activities will require consulting services, training of government officials on the use of these new tools and workshops 29 It will provide rough estimates with the objective to identify main p",Mitigation,0.55,0.25,0.33,P_005
action::115::this sub-component will suppor,Action,"This sub-component will support managing and supervising the Project and auditing of Parts A, B and C2 of the Project .",Mitigation,0.55,0.25,0.33,P_005
action::116::it will also finance the coord,Action,"It will also finance the coordination, monitoring and evaluation of the overall PPCR program, and disseminate related findings and lessons learnt.",Mitigation,0.55,0.25,0.33,P_005
action::117::this will involve putting in p,Action,This will involve putting in place an integrated M& E system for the projects implemented by different donors.,Mitigation,0.55,0.25,0.33,P_005
