node_id,node_type,name,taxonomy,confidence,probability,severity_num,project_id
action::100::o the recipient will promptly,Action,"o The Recipient will promptly refund, and/or cause a Guarantee Program Implementing Agency to refund, to the Bank the GEF proceeds disbursed by the Bank, and the investment income generated by the Spe",Mitigation,0.55,0.25,0.33,P_012
action::101::f (a) the bank shall have dete,Action,f (a) the Bank shall have determined that any payment made with GEF funds or interest income generated therefrom was used for any expenditure not consistent with provision of the Gant Agreement; (b) t,Mitigation,0.55,0.25,0.33,P_012
action::102::25 * maintain policies and pro,Action,"25 * Maintain policies and procedures adequate to enable it to monitor and evaluate on an ongoing basis, in accordance with indicators acceptable to the Bank, the carrying out of the Project and the a",Mitigation,0.55,0.45,0.33,P_012
action::103::the recipient should review wi,Action,"The Recipient should review with the Bank the two Mid - Term Project reports referred to above by January 31, 2005 and June 30, 2007, and take all measures required to ensure the efficient completion ",Mitigation,0.55,0.25,0.33,P_012
action::104::concerning the emc loan guaran,Action,"Concerning the EMC Loan Guarantee Program, assurances were obtained that: * The Recipient will (i) Execute a Guarantee Program Implementation Agreement, in form and substance acceptable to the Bank, w",Mitigation,0.55,0.25,0.33,P_012
action::105::* no withdrawals will be made,Action,* No withdrawals will be made for the EMC Loan Guarantee Program disbursement category until the Bank has been furnished with evidence satisfactory to the Bank that a Guarantee Program Implementation ,Mitigation,0.55,0.25,0.33,P_012
action::106::energy savings and carbon redu,Action,"Energy savings and carbon reductions are the total amounts which will be directly generated by the investments, over the estimated life of the equipment installed.",Mitigation,0.55,0.25,0.33,P_012
action::107::total actual energy savings an,Action,Total actual energy savings and associated carbon dioxide reductions achieved from all EMC subprojects will be reported by the guarantee program and EMC association in their biannual reports.,Mitigation,0.55,0.25,0.33,P_012
action::108::in addition to these key proje,Action,"In addition to these key project performance indicators, a number of other quantitative and qualitative indicators will be monitored by t",Mitigation,0.55,0.25,0.33,P_012
action::109::in addition to these key proje,Action,"In addition to these key project performance indicators, a number of other quantitative and qualitative indicators will be monitored by the Guarantee Program Implementation Agency, EMC Association and",Mitigation,0.55,0.25,0.33,P_012
action::10::high loan transaction costs fo,Action,"High loan transaction costs for such types of small projects make commercial lending for many energy conservation projects unattractive to most banks, unless projects can be bundled together, or other",Mitigation,0.55,0.25,0.33,P_012
action::110::30 annex 2: detailed project d,Action,"30 Annex 2: Detailed Project Description ClH[lNA: Second Energy Conservation Project The proposed project includes three components: (a) an EMC Service Component, designed primarily to provide in-dept",Mitigation,0.55,0.25,0.33,P_012
action::111::although some international te,Action,"Although some international technical assistance will also be involved, the primary focus will be to rely on Chinese experts and business people who are well versed in the development of Chinese EMCs ",Mitigation,0.55,0.45,0.33,P_012
action::112::additional work program detail,Action,"Additional work program details are being prepared by the Group, and will be completed satisfactory to the Bank by then end of December 2002.",Mitigation,0.55,0.25,0.33,P_012
"action::113::prior to the end of 2003, and",Action,"Prior to the end of 2003, and following the expansion and further development of its EMC members, the EMC Service Group will be transformed into a permanent entity, independent from the PMO and govemm",Mitigation,0.55,0.25,0.33,P_012
action::114::the permanent service institut,Action,"The permanent service institution will act as a service oriented trade association, and should be financially self- sustaining after project completion.",Mitigation,0.55,0.25,0.33,P_012
