node_id,node_type,name,taxonomy,confidence,probability,severity_num,project_id
"action::100::during project preparation, an",Action,"During project preparation, an action framework (see chart below) for the safe handling of demolition materials and toilet sewage was developed and agreed.",Mitigation,0.55,0.25,0.33,P_015
action::101::implementing the mitigation me,Action,"Implementing the mitigation measures would be the responsibility governmental units in collaboration with the school community and other groups in civil society, including NGOs: (a) At the project lev",Mitigation,0.55,0.25,0.33,P_015
action::102::proposed * school mapping will,Action,Proposed * School mapping will * Construction debris will * Training of School mitigation identify sites where the,Mitigation,0.55,0.25,0.33,P_015
action::103::proposed * school mapping will,Action,Proposed * School mapping will * Construction debris will * Training of School mitigation identify sites where there will be be removed by contractors under Council and parents by measures demolition.,Mitigation,0.55,0.25,0.33,P_015
"action::104::building security, paper field",Action,"building security, paper field engineers will identify * Monitoring of debris collection and disposal.",Mitigation,0.55,0.25,0.33,P_015
action::105::demolition sites with hazardou,Action,demolition sites with hazardous handling will be undertaken by * Training of school heads materials.,Mitigation,0.55,0.25,0.33,P_015
action::106::district education authority i,Action,District Education Authority in and teachers by collaborating * Demolition plans will be collaboration with School NGO on preventive prepared by PMU.,Mitigation,0.55,0.25,0.33,P_015
action::107::* demolition plans will be sub,Action,* Demolition plans will be submitted for approval of Environmental Protection Unit and the Division of Health Services.,Mitigation,0.55,0.25,0.33,P_015
action::108::* bidding documents will be su,Action,* Bidding documents will be submitted for approval of UNTAET and the World Bank.,Mitigation,0.55,0.25,0.33,P_015
action::109::construction of unknown risk m,Action,"Construction of Unknown risk Moderately serious risk Negligible risk school toilets Potential Toilets may be installed near negative impact streams, agricultural or forested land or on steep slopes Pr",Mitigation,0.65,0.45,1.0,P_015
action::10::pmu will be responsible for ov,Action,"PMU will be responsible for overall project administration and coordination, implementation, and quality control, including the administration of project funds, project procurement, and technical coor",Mitigation,0.55,0.25,0.33,P_015
action::110::architectural firm contracted,Action,"architectural firm contracted for hygiene; and (ii) school heads * Architectural sanitation construction supervision, with and teachers on daily clean-up plans incorporate hygiene oversight by PMU Pro",Mitigation,0.55,0.25,0.33,P_015
action::111::ool heads * architectural sani,Action,"ool heads * Architectural sanitation construction supervision, with and teachers on daily clean-up plans incorporate hygiene oversight by PMU Project and maintenance of toilets will standards for toil",Mitigation,0.55,0.25,0.33,P_015
action::112::* approval of architectural se,Action,"* Approval of architectural sewerage facilities will be * Print and radio sanitation plans by monitored by School Council on information campaign on school Environmental Protection Unit, site.",Mitigation,0.55,0.25,0.33,P_015
action::113::hygiene will be conducted by d,Action,"hygiene will be conducted by Division of Health Services, social mobilization and UNTAET.",Mitigation,0.55,0.25,0.33,P_015
action::114::the summary table was presente,Action,The summary table was presented in the text of the PAD and will not be repeated here.,Mitigation,0.55,0.25,0.33,P_015
action::115::cost-benefit analysis 4.7 the,Action,"Cost-benefit Analysis 4.7 The largest component of the project is to upgrade 65 primary schools, which will benefit 15,600 primary school students, and to build 14 integrated demonstration schools, es",Mitigation,0.55,0.25,0.33,P_015
"action::116::dents, and to build 14 integra",Action,"dents, and to build 14 integrated demonstration schools, escolas basicas, that will be shared by 3,360 primary school students and 5,040 junior secondary school students.",Mitigation,0.55,0.25,0.33,P_015
action::117::4.10 the internal rates of ret,Action,"4.10 The internal rates of return to the project is affected by three major factors: (i) the rates of student repetition, promotion, dropout and transition from one cycle to the next (internal efficie",Mitigation,0.65,0.25,1.0,P_015
action::118::ut and transition from one cyc,Action,"ut and transition from one cycle to the next (internal efficiency), which determines how many graduates will enter the labor market and how soon; (ii) the demand for labor which affects the employment",Mitigation,0.55,0.25,0.33,P_015
"action::119::however, given the plan of exp",Action,"However, given the plan of expansion has been incorporated into the budget request for 2001/02, these new teachers will be additional to the ""new teachers"" already requested.",Mitigation,0.55,0.25,0.33,P_015
action::11::the pmu will provide school fu,Action,"The PMU will provide school fuirniture, textbooks, and other teaching-learning materials and will be responsible for construction.",Mitigation,0.55,0.25,0.33,P_015
"action::120::rs will be additional to the """,Action,"rs will be additional to the ""new teachers"" already requested.",Mitigation,0.55,0.25,0.33,P_015
action::121::annex 6: procurement and disbu,Action,Annex 6: Procurement and Disbursement Arrangements EAST TIMOR: FUNDAMENTAL SCHOOL QUALITY PROJECT Procurement 6.1 Procurement of works and goods will follow the Bank's Guidelines: Procurement under IB,Mitigation,0.55,0.25,0.33,P_015
action::122::standard bidding documents wil,Action,"Standard bidding documents will be used for all Bank-financed procurement; where standard documents are not available, documents acceptable to the Bank will be used.",Mitigation,0.55,0.25,0.33,P_015
action::123::the bank's standard bid evalua,Action,The Bank's Standard Bid Evaluation Form: Procurement of Goods or Works (April 1996) and Sample Form of Evaluation Report: Selection of Consultznts (October 1999) will be used for submission of evaluat,Mitigation,0.55,0.25,0.33,P_015
action::124::6.2 selection of consultant se,Action,"6.2 Selection of consultant services will be based on the Bank's Guidelines: Selection and Employment of Consultants by World Bank Borrowers (January 1997, revised September 1997 and January 1999 - th",Mitigation,0.55,0.25,0.33,P_015
action::125::the bank's standard request fo,Action,"The Bank's Standard Request for Proposals: Selection of Consultants (includes Standard Forms Contract) - (July 1997, revised April 1998 and July 1999) will be used for selection.",Mitigation,0.55,0.25,0.33,P_015
action::126::6.3 the procurement plan for t,Action,"6.3 The Procurement Plan for the proposed project (July 2001-January 2003), providing a timeline for each step of the procurement process, is in the Project Implementation Plan.",Mitigation,0.55,0.25,0.33,P_015
action::127::the plan will be updated by th,Action,The plan will be updated by the Project Management Unit (PMU) on a quarterly basis and reviewed by the Bank.,Mitigation,0.55,0.25,0.33,P_015
action::128::thus procurement procedures wi,Action,Thus procurement procedures will be those set out in the Bank's Guidelines.,Mitigation,0.55,0.25,0.33,P_015
action::129::(a) procurement will be in acc,Action,(a) Procurement will be in accordance with sec.,Mitigation,0.55,0.25,0.33,P_015
action::12::the pmu will also continue to,Action,The PMU will also continue to implement the social mobilization campaigns and contract policy development studies with qualified individuals and groups.,Mitigation,0.55,0.25,0.33,P_015
action::130::9.1 shall be modified to provi,Action,"9.1 shall be modified to provide advertisement in the national press, and bidders will have a minimum of 30 days from the date of advertisement, or availability of bidding documents, whichever is late",Mitigation,0.55,0.25,0.33,P_015
"action::131::18.4, on domestic preference,",Action,"18.4, on domestic preference, will not apply.",Mitigation,0.55,0.25,0.33,P_015
