src,dst,edge_type,weight,confidence,evidence_id,project_id,time
project::P_009,action::100::they will also be the basis fo,ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,"action::101::in addition, the bank mission",ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,"action::102::wfp, fao and the world bank wi",ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,action::103::other institutions (such as lo,ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,action::104::the frequency and the content,ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,"action::105::food security, market , and nu",ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,action::106::the services of a consultant o,ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,action::107::the evaluation will assess som,ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,action::108::the evaluation will also provi,ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,action::109::the evaluation will also provi,ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,action::10::the additional bank commitment,ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,action::110::it is important to emphasize t,ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,action::111::yet although the project’s act,ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,"action::112::for example, by improving food",ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,action::113::the basic inputs and training,ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,action::114::the vaccination campaign and a,ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,action::115::interventions under the propos,ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,action::116::the activities supported under,ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,"action::117::returnees, refugees, and host",ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,"action::118::for example, the regional live",ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,action::119::these linkages with long-term,ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,action::11::the bank will use its convenin,ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,action::120::key risks and mitigation measu,ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,action::121::the proposed project could fac,ASSOCIATED_WITH,1.0,0.65,,P_009,2014-09
project::P_009,action::122::the major external risks are d,ASSOCIATED_WITH,1.0,0.65,,P_009,2014-09
project::P_009,"action::123::to mitigate such risks, the pr",ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,action::124::the proposed project responds,ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,action::125::each of the aforementioned org,ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,action::126::the project’s efficiency will,ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,"action::127::specifically, the proposed ope",ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,"action::128::through these activities, the",ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,action::129::these externalities of the pro,ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,action::12::the proposed emergency project,ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,action::12::the proposed emergency project,ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,action::130::it will also contribute to ini,ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,action::130::it will also contribute to ini,ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,"action::131::access to certified seed, fert",ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,action::132::a critical assumption is that,ASSOCIATED_WITH,1.0,0.65,,P_009,2014-09
project::P_009,action::133::the project will use a voucher,ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,action::134::this strategy will further enh,ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,"action::135::for the proposed project, the",ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,"action::136::despite the se arrangements, t",ASSOCIATED_WITH,1.0,0.65,,P_009,2014-09
project::P_009,action::137::the agreements for supplies an,ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,action::138::the eapsp will use its existin,ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,action::139::wfp and fao will handle the fi,ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,"action::13::more specifically, the project",ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,action::140::wfp and fao will handle the fi,ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,action::141::they will maintain separate le,ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,action::142::wfp and fao will be required t,ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,action::142::wfp and fao will be required t,ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,action::143::no designated account will be,ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,action::143::no designated account will be,ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,action::144::a blanket commitment will be s,ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,action::144::a blanket commitment will be s,ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,action::145::the grant will finance 100 per,ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
project::P_009,action::145::the grant will finance 100 per,ASSOCIATED_WITH,1.0,0.55,,P_009,2014-09
