node_id,node_type,name,taxonomy,confidence,probability,severity_num,project_id
"action::100::most proposed activities, such",Action,"Most proposed activities, such as promoting LOCAL urban forms, EE in public and commercial buildings, and scaling-up commercially viable rooftop solar PV systems, are either upstream studies or pilot ",Mitigation,0.55,0.45,0.33,P_013
action::101::the environmental safeguard is,Action,"The environmental safeguard issues of the proposed project are associated with the green building demonstration projects in Ningbo, which include physical construction activities, i.e., new constructi",Mitigation,0.55,0.25,0.33,P_013
action::102::based on the environmental ass,Action,"Based on the environmental assessment, the proposed activities will have limited adverse environmental impacts, i.e.",Mitigation,0.55,0.25,0.33,P_013
action::103::these documents adequately add,Action,"These documents adequately addressed the potential environmental impacts and include proper management arrangements, mitigation measures and budget support for implementation.",Mitigation,0.55,0.45,0.33,P_013
action::104::a set of generic mitigation me,Action,A set of generic mitigation measures (Environmental Code of Practices - ECOPs) for common construction-related environmental issues during construction has been included in the EMPs.,Mitigation,0.55,0.25,0.33,P_013
action::105::the ecops will be included in,Action,The ECOPs will be included in the bidding documents/contracts for implementation.,Mitigation,0.55,0.25,0.33,P_013
action::106::consultants indicator two: ene,Action,consultants Indicator Two: Energy P Official national guidelines on performance benchmarking and EPB&D for public and commercial disclosure (EPB&D) program for and commercial buildings buildings issue,Mitigation,0.55,0.25,0.33,P_013
"action::107::s and regulations informed, na",Action,"s and regulations informed, national consensus on necessary actions increased.",Mitigation,0.55,0.25,0.33,P_013
action::108::national support for the devel,Action,"National Support for the Development of LOCAL Urban Form: this subcomponent will assist MOHURD in improving relevant statutory urban planning standards and regulations, support national consensus buil",Mitigation,0.55,0.25,0.33,P_013
action::109::a main area of analysis will b,Action,"A main area of analysis will be a series of comparative urban form and energy use studies of selected cities in different climate zones, including Beijing and Ningbo as described in IB and IC below.",Mitigation,0.55,0.25,0.33,P_013
action::10::bending the trajectory of carb,Action,Bending the trajectory of carbon intensity while modernizing will challenge Chinese cities to break away from their current growth model.,Mitigation,0.55,0.25,0.33,P_013
action::110::a common set of tor for urban,Action,"A common set of TOR for urban form study and other key empirical analyses will be used for Beijing, Ningbo and additional cities selected by MOHURD to ensure the consistency of methodology and analyti",Mitigation,0.55,0.25,0.33,P_013
action::111::an annual national workshop on,Action,An annual national workshop on development of LOCAL urban forms will be organized for sharing experiences among cities.,Mitigation,0.55,0.25,0.33,P_013
action::112::this event will also coincide,Action,This event will also coincide with the annual meeting of the National Advisory Committee for them to review the progress and developments and provide guidance.,Mitigation,0.55,0.25,0.33,P_013
action::113::a training course will be deve,Action,A training course will be developed for mayors and urban planners and will be continuously delivered through the regular training program for mayors run by MOHURD.,Mitigation,0.55,0.25,0.33,P_013
action::114::overseas study tours will be o,Action,Overseas study tours will be organized for selected mayors who have participated in the training program to learn from their international peers.,Mitigation,0.55,0.25,0.33,P_013
action::115::additional pilots of local urb,Action,Additional pilots of LOCAL urban form will be supported by MOHURD through subcomponent lA.,Mitigation,0.55,0.25,0.33,P_013
action::116::the candidate cities will be s,Action,The candidate cities will be selected by MOHURD together 19,Mitigation,0.55,0.25,0.33,P_013
action::117::with the world bank based on t,Action,with the World Bank based on the commitment of city leaders to making revisions of existing master plans and construction control plans to be implemented in new urban development areas or redevelopmen,Mitigation,0.55,0.25,0.33,P_013
action::118::and construction control plans,Action,"and construction control plans to be implemented in new urban development areas or redevelopment areas, capacity of local institutions, and the availability of large-scale urban development or redevel",Mitigation,0.55,0.25,0.33,P_013
"action::119::beijing studies and analyses,",Action,"Beijing Studies and Analyses, as part of the national studies coordinated by MOHURD, will support empirical studies and analyses in Beijing, including mainly an urban form study with specific recommen",Mitigation,0.55,0.25,0.33,P_013
action::11::investments in urban infrastru,Action,Investments in urban infrastructure will be enormous.,Mitigation,0.55,0.25,0.33,P_013
action::120::ningbo studies and pilot(s) wi,Action,"Ningbo Studies and Pilot(s) will include: (a) As part of the national studies coordinated by MOHURD, empirical studies and analyses in Ningbo, similar to those done in Beijing and in other cities, wit",Mitigation,0.55,0.25,0.33,P_013
action::121::support will be provided to th,Action,Support will be provided to the Damuwan Administrative Committee to revise the master plan of a centrally located 5.1 km2 area slated for both commercial and residential development.,Mitigation,0.55,0.25,0.33,P_013
action::122::the proposed activities includ,Action,The proposed activities include revision of the Master Plan for the area and the associated construction control plans' to be implemented by the Damuwan Administrative Committee over the course of the,Mitigation,0.55,0.25,0.33,P_013
action::123::the support to the damuwan pil,Action,"The support to the Damuwan pilot will also include the planning and concept design of the transport system of the entire Damuwan New Town, which will seek to optimize both the road network and the mix",Mitigation,0.55,0.25,0.33,P_013
action::124::component 1 gef grant allocati,Action,Component 1 GEF grant allocation by subcomponent and first year activities are summarized in the table below: 1 China's statutory urban planning includes three levels of spatial planning requirements:,Mitigation,0.55,0.25,0.33,P_013
action::125::subcomponent and gef grant fir,Action,"Subcomponent and GEF grant First Year Activity Note Responsible PMO allocation ('000USD) 1A (MOHURD) 3,000 (1) Overall program design and planning, including MOHURD will establishment of an expert gro",Mitigation,0.55,0.25,0.33,P_013
"action::126::specifically, this component w",Action,"Specifically, this component will consist of the following subcomponents: 2A.",Mitigation,0.55,0.25,0.33,P_013
action::127::national support for epb&d for,Action,National Support for EPB&D for Large Public and Commercial Buildings: this subcomponent will assist MOHURD in piloting and scaling up city-level mandatory EPB&D for large public and commercial buildin,Mitigation,0.55,0.25,0.33,P_013
