node_id,node_type,name,taxonomy,confidence,probability,severity_num,project_id
action::100::the point of view of the farme,Action,of the farmers is fundamental to establish whether a conservation measure could be successfully scaled up.,Mitigation,0.55,0.45,0.33,P_024
"action::101::this is not straightforward, e",Action,"This is not straightforward, especially considering that most of the farmers are illiterate, thus preventing the use of written surveys as a means to assess satisfaction.",Mitigation,0.55,0.25,0.33,P_024
action::102::the asima will build on this a,Action,The ASIMA will build on this acquired awareness by developing a methodology which accounts for farmers' satisfaction.,Mitigation,0.55,0.25,0.33,P_024
action::103::the objective is to evaluate t,Action,The objective is to evaluate the piloted measures for land and biodiversity conservation from the perspective of the farmers themselves.,Mitigation,0.55,0.25,0.33,P_024
action::104::feedback from farmers will be,Action,Feedback from farmers will be useful information for the MAPM in deciding which measures to scale up so as to have the greatest positive impact.,Mitigation,0.55,0.25,0.33,P_024
action::105::knowledge and data acquired th,Action,Knowledge and data acquired through robust M&E of the ASIMA can be used to scale up the land and biodiversity conservation measures.,Mitigation,0.55,0.25,0.33,P_024
action::106::the asima will benefit from th,Action,"The ASIMA will benefit from the knowledge generated in preceding projects, and in particular: * The GEF project Transhumance for Biodiversity Conservation in the Southern High Atlas aimed to integrate",Mitigation,0.55,0.25,0.33,P_024
"action::107::in addition, the asima will bu",Action,"In addition, the ASIMA will build on the knowledge compiled in ""tude des ressources et des potentialites melliferes pour la rehabilitation et la preservation de l'abeille saharienne dans le versant su",Mitigation,0.55,0.45,0.33,P_024
action::108::the ada will be responsible fo,Action,The ADA will be responsible for the overall coordination of the ASIMA.,Mitigation,0.55,0.25,0.33,P_024
action::109::the ada will implement compone,Action,"ADA will implement Component 1 and the MAPM (through the relevant DPAs, with the support of the relevant DRAs and CTs), with the assistance of the ADA, will implement Component 2.",Mitigation,0.55,0.25,0.33,P_024
action::10::(xi)the recipient shall ensure,Action,(xi)The Recipient shall ensure that no Resettlement will take place under the Project.,Mitigation,0.55,0.25,0.33,P_024
action::110::the list of staff assigned to,Action,The list of staff assigned to the project has been agreed upon and will be officially communicated to the World Bank prior to effectiveness.,Mitigation,0.55,0.25,0.33,P_024
action::111::any change to the composition,Action,Any change to the composition will be done in agreement with the World Bank.,Mitigation,0.55,0.25,0.33,P_024
action::112::it will provide a basis for re,Action,"It will provide a basis for regular interaction with small farmers, to get a good understanding of the pros and cons of the land and biodiversity conservation measures, as well as of the possible bene",Mitigation,0.55,0.45,0.33,P_024
action::113::reporting on the status of phy,Action,Reporting on the status of physical implementation and on the result indicators of the ASIMA will be done through Project Reports.,Mitigation,0.55,0.25,0.33,P_024
action::114::the ada will have the overall,Action,"The ADA will have the overall responsibility for the preparation of the Project Reports each semester, on the base of the contributions of the DPAs, consolidated at a regional level by the DRAs.",Mitigation,0.55,0.25,0.33,P_024
action::115::physical implementation and on,Action,physical implementation and on the result indicators of the ASIMA will be shared with the farmers.,Mitigation,0.55,0.25,0.33,P_024
"action::116::to this end, and in line with",Action,"To this end, and in line with the circular recently issued by the MAPM a on the public display at local level of Pillar II projects information, M&E information will be included in the project status ",Mitigation,0.55,0.25,0.33,P_024
